Title,Link,Company,Location,Date,Experience,Salary,Time,Apply Here,Category,Career Level,Qualification,vacancies
Export Documentation  ,https://www.careerokay.com//Job/job-listings-export-documentation-chenab-limited-102501,Chenab Limited,"Faisalabad,  - Pakistan","Mar 07,2023",3 Years,35k to 50k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102501,Accounting/Auditing,Experienced (Non-Managerial),Graduate,2
"Staff Need in Night Shift, Call Center Sales Representatives ",https://www.careerokay.com//Job/job-listings-staff-need-in-night-shift-call-center-sales-representatives-atrium-solution-102500,Atrium Solution,"Lahore,  - Pakistan","Mar 06,2023",Fresh Graduate,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102500,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Front-End Engineer  ,https://www.careerokay.com//Job/job-listings-front-end-engineer-inqline-102499,INQLINE,"Karachi,  - Pakistan","Mar 06,2023",3 Years,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102499,Information Technology,Experienced (Non-Managerial),Bachelor,1
Search Engine Optimization Executive ,https://www.careerokay.com//Job/job-listings-search-engine-optimization-executive--102498,"Lahore, ","Lahore,  - Pakistan","Mar 06,2023",Fresh Graduate,5k to 5k (PKR) - Per Month,Internship Job,https://www.careerokay.com//Job/apply/102498,Marketing,Entry Level,Bs,5
International Sales Executive ,https://www.careerokay.com//Job/job-listings-international-sales-executive--102497,"Karachi, ","Karachi,  - Pakistan","Mar 06,2023",1 Year,40k to 45k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102497,Sales,Entry Level,Bachelor's ,3
Case Processing Officer-Trainee ,https://www.careerokay.com//Job/job-listings-case-processing-officer-trainee--102496,"Karachi, ","Karachi,  - Pakistan","Mar 06,2023",Fresh Graduate,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102496,Consulting,Entry Level,"B.com, bachelor",2
 Junior Educational Consultant ,https://www.careerokay.com//Job/job-listings-junior-educational-consultant--102495,"Karachi, ","Karachi,  - Pakistan","Mar 06,2023",Less than 1 Year,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102495,Consulting,Entry Level,"Bachelor, B.com",2
Associate Web Developer  ,https://www.careerokay.com//Job/job-listings-associate-web-developer-freelance-house-102494,Freelance House,"Lahore,  - Pakistan","Mar 06,2023",5 Years,100k to 130k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102494,Information Technology,Experienced (Non-Managerial),BSC / MSC,1
"Java, .NET, Python, and Cyber Security . ",https://www.careerokay.com//Job/job-listings-java-net-python-and-cyber-security---102493,"Magdeburg, ","Magdeburg,  - Germany","Mar 05,2023",4 Years,40 to 70 (USD) - Per Year,Full-Time Job,https://www.careerokay.com//Job/apply/102493,Information Technology,Experienced (Non-Managerial),Bachelor's,100
Call Center Agents Required for Night Shift ,https://www.careerokay.com//Job/job-listings-call-center-agents-required-for-night-shift-atrium-solution-102492,Atrium Solution,"Lahore,  - Pakistan","Mar 04,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102492,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Jr. international Sales Executive  ,https://www.careerokay.com//Job/job-listings-jr-international-sales-executive-ge-solucions-102491,GE Solucions,"Karachi,  - Pakistan","Mar 04,2023",Student,25k to 30k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102491,Business Development,"Executive (SVP, VP, Department Head)",Bachelors,2
Call Center Sales Representatives Required Night Shift ,https://www.careerokay.com//Job/job-listings-call-center-sales-representatives-required-night-shift-atrium-solution-102490,Atrium Solution,"Lahore,  - Pakistan","Mar 03,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102490,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Customer Service Representative  ,https://www.careerokay.com//Job/job-listings-customer-service-representative--102489,"Lahore, ","Lahore,  - Pakistan","Mar 03,2023",Student,30k to 80k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102489,Customer Service,Entry Level,Matric to B.A,15
SALE & MARKETING EXECUTIVE ,https://www.careerokay.com//Job/job-listings-sale-marketing-executive--102488,"Lahore, ","Lahore,  - Pakistan","Mar 03,2023",1 Year,25k to 35k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102488,Information Technology,Experienced (Non-Managerial),BACHELORS/MASTERS,2
Wix Developer ,https://www.careerokay.com//Job/job-listings-wix-developer--102487,"Lahore, ","Lahore,  - Pakistan","Mar 03,2023",1 Year,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102487,Other,Experienced (Non-Managerial),Short course,1
Call Center Agents Required for Night Shift in Johar Town ,https://www.careerokay.com//Job/job-listings-call-center-agents-required-for-night-shift-in-johar-town-atrium-solution-102486,Atrium Solution,"Lahore,  - Pakistan","Mar 02,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102486,Sales,Student (Undergraduate/Graduate),Intermediate ,20
German Speaker ,https://www.careerokay.com//Job/job-listings-german-speaker-ibex-102485,ibex.,"Lahore,  - Pakistan","Mar 02,2023",Fresh Graduate,100k to 120k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102485,Customer Service,Entry Level,O/A Level / Intermediate or above,10
French Speaker ,https://www.careerokay.com//Job/job-listings-french-speaker-ibex-102484,ibex.,"Lahore,  - Pakistan","Mar 02,2023",Fresh Graduate,100k to 120k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102484,Customer Service,Entry Level,O/A Level / Intermediate or above,10
